nombre_original,nombre_normalizado,id,presentacion,tolerancia,match_catalogo,marca_catalogo,categoria_catalogo,precio_ref_catalogo,score,estatus
"FIDEO DE ARROZ CHINO, BOLSA 200 GR CON TOLERANCIA DE +10%",FIDEO ARROZ CHINO,INS-5C45A492A2,200 gr,+/-10%,,,,,49,FALTA_EN_CATALOGO
"FLOR DE CALABAZA, ASPECTO: FLOR FRESCA LIBRE DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS, FLOR DE COLOR NARANJA-AMARILLAS CON TALLO COLOR VERDE, ATRACTIVAS Y BIEN PRESENTADOS, SABOR: FRESCO Y SUAVE CARACTERÍSTICO, OLOR: CARACTERÍSTICO DE LA VARIEDAD, TACTO: FLOR DELGADA DE SUPERFICIE SUAVE, TALLO FIRME Y CRUJIENTE, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG",FLOR CALABAZA,INS-01D4416C40,1 kg,,FLOR DE CALABAZA,KG,FRUTAS Y VERDURAS,116.68,100,YA_EN_CATALOGO
"FLOR DE JAMAICA SECA EN PRESENTACIÓN DE BOLSA DE 1 KG DE PRIMERA CALIDAD CON TOLERANCIA DE +/-10%, DEBERÁ CUMPLIR: NMX- FF-115-SCFI-2010",FLOR JAMAICA SECA,INS-B04DD15CAE,1 kg,+/-10%,FLOR DE JAMAICA,A GRANEL,ABARROTES,258.5,100,YA_EN_CATALOGO
"FLORES COMESTIBLES/PENSAMIENTOS, ASPECTO: FLOR FRESCA LIBRE DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS, FLOR DE COLORES VARIADOS CON TALLO COLOR VERDE, ATRACTIVAS Y BIEN PRESENTADOS, SABOR: FRESCO Y SUAVE CARACTERÍSTICO, OLOR: CARACTERÍSTICO DE LA VARIEDAD, TACTO: FLOR DELGADA DE SUPERFICIE SUAVE, TALLO FIRME Y CRUJIENTE, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE DOMO 160 GR A 170 GR.",FLORES COMESTIBLES PENSAMIENTOS,INS-167C9CFDDE,160 gr,,,,,,46,FALTA_EN_CATALOGO
"FRAMBUESA, DEBERÁ ESTAR LIBRES DE POLVO, TIERRA U OTRAS MATERIAS INDESEABLES, LA SUPERFICIE DE LA FRUTA DEBERÁ SER CÓNICA O REDONDEADA CON UNA PIEL ATERCIOPELADA, LIBRES DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS, TEXTURA: SUAVE PERO FIRME DESCRIPCIÓN COLOR: ROJO, ATRACTIVA Y BIEN PRESENTADO, OLOR: PULPA ES MUY AROMÁTICA, SABOR: AGRIDULCE. LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS, PRESENTACIÓN DE DOMO 160 A 170 GR",FRAMBUESA,INS-4A80AE7F42,170 gr,,FRAMBUESAS,KG,FRUTAS Y VERDURAS,407.59,100,YA_EN_CATALOGO
"FRAMBUESA, DEBERÁ ESTAR LIBRES DE POLVO, TIERRA U OTRAS MATERIAS INDESEABLES, LA SUPERFICIE DE LA FRUTA DEBERÁ SER CÓNICA O REDONDEADA CON UNA PIEL ATERCIOPELADA, LIBRES DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS, TEXTURA: SUAVE PERO FIRME, COLOR: ROJO, ATRACTIVA Y BIEN PRESENTADO, OLOR: PULPA, SABOR: AGRIDULCE, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS, PRESENTACIÓN DE UNA BOLSA DE 1 KG",FRAMBUESA,INS-F9CC65FF2D,1 kg,,FRAMBUESAS,KG,FRUTAS Y VERDURAS,407.59,100,YA_EN_CATALOGO
"FRESA CHICA, FORMA SEMEJANTE A UN CONO O A UN CORAZÓN, CON SEMILLAS SOBRE TODA LA SUPERFICIE, LIBRES DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS, DEBERÁ ESTAR LIBRES DE POLVO, TIERRA U OTRAS MATERIAS INDESEABLES, LA SUPERFICIE DE LA FRUTA DEBERÁ SER LISA, ATRACTIVA Y BIEN PRESENTADO, COLOR: ROJO BRILLANTE, OLOR: AROMA CARACTERÍSTICO INTENSO, SABOR: DULCE, TACTO: TEXTURA BLANDA Y JUGOSA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS, PRESENTACIÓN DE UNA BOLSA DE 1 KG",FRESA CHICA,INS-6DBE50D071,1 kg,,FRESAS,KG,FRUTAS Y VERDURAS,280.32,84,YA_EN_CATALOGO
"FRESA GRANDE, ASPECTO: FORMA SEMEJANTE A UN CONO O A UN CORAZÓN, CON SEMILLAS SOBRE TODA LA SUPERFICIE, LIBRES DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS, DEBERÁ ESTAR LIBRES DE POLVO, TIERRA U OTRAS MATERIAS INDESEABLES, LA SUPERFICIE DE LA FRUTA DEBERÁ SER LISA, ATRACTIVA Y BIEN PRESENTADO, COLOR: ROJO BRILLANTE, OLOR: AROMA CARACTERÍSTICO INTENSO, SABOR: DULCE, TACTO: TEXTURA BLANDA Y JUGOSA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS, PRESENTACIÓN DE UNA BOLSA DE 1 KG",FRESA GRANDE,INS-690AB2342B,1 kg,,FRESAS,KG,FRUTAS Y VERDURAS,280.32,83,YA_EN_CATALOGO
"FRIJOL BAYO DESHIDRATADO, PRESENTACIÓN EN BOLSA DE 5 KG, CON TOLERANCIA DE +/-10%",FRIJOL BAYO DESHIDRATADO,INS-C2CDB6ABA5,5 kg,+/-10%,,,,,57,FALTA_EN_CATALOGO
"FRIJOL NEGRO DESHIDRATADO, PRESENTACIÓN EN BOLSA DE 5 KG, CON TOLERANCIA DE +/-10%",FRIJOL NEGRO DESHIDRATADO,INS-3E9403288F,5 kg,+/-10%,FRIJOL NEGRO,A GRANEL,ABARROTES,42.14,91,YA_EN_CATALOGO
"GERMEN DE ALFALFA, ASPECTO: PUNTAS COLOR VERDE BASE TONALIDADES AMARILLAS BLANQUIZCAS, LIBRE DE MAGULLADURAS, PLAGAS Y DAÑOS FISIOLÓGICOS, ATRACTIVO Y BIEN PRESENTADO, SABOR: CARACTERÍSTICO DE LA VARIEDAD, OLOR: CARACTERÍSTICO DE LA VARIEDAD, TACTO: FIRME, FLEXIBLE Y FRÁGIL, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG",GERMEN ALFALFA,INS-CB1937FEF0,1 kg,,,,,,30,FALTA_EN_CATALOGO
"GERMEN DE ALFALFA, TEMPERATURA: MENOR A 7°C Y MAYOR A 2°C, ASPECTO: PUNTAS COLOR VERDE BASE TONALIDADES AMARILLAS BLANQUIZCAS, LIBRE DE MAGULLADURAS, PLAGAS Y DAÑOS FISIOLÓGICOS, ATRACTIVO Y BIEN PRESENTADO, SABOR: CARACTERÍSTICO DE LA VARIEDAD, OLOR: CARACTERÍSTICO DE LA VARIEDAD, TACTO: FIRME, FLEXIBLE Y FRÁGIL, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG A 1.200 KG.",GERMEN ALFALFA,INS-75572904C9,1 kg,,,,,,30,FALTA_EN_CATALOGO
"GERMEN DE BETABEL, TEMPERATURA: MENOR A 7°C Y MAYOR A 2°C, ASPECTO: PUNTAS COLOR MORADAS BASE TONALIDADES VERDES CON MORADO, LIBRE DE MAGULLADURAS, PLAGAS Y DAÑOS FISIOLÓGICOS, ATRACTIVO Y BIEN PRESENTADO, SABOR: CARACTERÍSTICO DE LA VARIEDAD, OLOR: CARACTERÍSTICO DE LA VARIEDAD, TACTO: FIRME, FLEXIBLE Y FRÁGIL, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DOMO DE 50 GRAMOS.",GERMEN BETABEL,INS-ADD92EA828,50 gramos,,,,,,56,FALTA_EN_CATALOGO
"GERMEN DE SOYA, TEMPERATURA: MENOR A 7°C Y MAYOR A 2°C, ASPECTO: PUNTAS COLOR VERDE BASE TONALIDADES AMARILLAS BLANQUIZCAS, LIBRE DE MAGULLADURAS, PLAGAS Y DAÑOS FISIOLÓGICOS, ATRACTIVO Y BIEN PRESENTADO, SABOR: CARACTERÍSTICO DE LA VARIEDAD, OLOR: CARACTERÍSTICO DE LA VARIEDAD, TACTO: FIRME, FLEXIBLE Y FRÁGIL, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG",GERMEN SOYA,INS-D9E9A16A76,1 kg,,,,,,51,FALTA_EN_CATALOGO
GOMA XANTANA EN POLVO SIN GLUTEN BOLSA CON 500 GR CON TOLERANCIA DE +/-10%,GOMA XANTANA GLUTEN,INS-E94278320E,500 gr,+/-10%,,,,,37,FALTA_EN_CATALOGO
"GRAGEA PERLA MINI, EN PRESENTACIÓN BOLSA DE 1 KG DE PRIMERA CALIDAD CON TOLERANCIA DE +/-10%",GRAGEA PERLA MINI,INS-62C2ED0259,1 kg,+/-10%,,,,,59,FALTA_EN_CATALOGO
"GRANADA ROJA DESGRANADA, ASPECTO: COLOR ROJO INTENSO, ATRACTIVO Y BIEN PRESENTADO, OLOR: CARACTERÍSTICO DE LA FRUTA SABOR: DULCE CON LEVES TONALIDADES ACIDAS, TACTO: TEXTURA FIRME, LIBRE DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U DESCRIPCIÓN OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG DE ACUERDO CON SU TEMPORADA",GRANADA ROJA DESGRANADA,INS-AD172B9FC7,1 kg,,,,,,58,FALTA_EN_CATALOGO
"GRANADA ROJA ENTERA SIN DESGRANAR, ASPECTO: COLOR ROJO INTENSO, ATRACTIVO Y BIEN PRESENTADO, OLOR: CARACTERÍSTICO DE LA FRUTA SABOR: DULCE CON LEVES TONALIDADES ACIDAS, TACTO: TEXTURA FIRME, LIBRE DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG DE ACUERDO CON SU TEMPORADA",GRANADA ROJA ENTERA DESGRANAR,INS-1150E95E9A,1 kg,,,,,,54,FALTA_EN_CATALOGO
GRANILLO DE CHOCOLATE SEMIAMARGO EN PRESENTACIÓN BOLSA DE 1 KG CON TOLERANCIA DE +/-10%,GRANILLO CHOCOLATE SEMIAMARGO,INS-6490B20C38,1 kg,+/-10%,GRANILLO DE COLORES,A GRANEL,ABARROTES,289.41,70,REVISAR
"GRANILLO DE CHOCOLATE SURTIDO PARA REPOSTERÍA, EN PRESENTACIÓN BOLSA DE 1 KG DE PRIMERA CALIDAD CON TOLERANCIA DE +/-10%",GRANILLO CHOCOLATE SURTIDO REPOSTERIA,INS-8751A0A4A0,1 kg,+/-10%,GRANILLO DE COLORES,A GRANEL,ABARROTES,289.41,65,REVISAR
"GRANILLO DE CHOCOLATE, VARIOS SABORES",GRANILLO CHOCOLATE VARIOS SABORES,INS-C971FAD508,,,GRANILLO DE COLORES,A GRANEL,ABARROTES,289.41,67,REVISAR
"GRANILLO DE COLORES FRUTALES PARA REPOSTERÍA, PRESENTACIÓN BOLSA DE 1 KG, PRIMERA CALIDAD CON TOLERANCIA DE +/-10%, DEBERÁ CUMPLIR CON LAS NORMAS- NOM-247-SSA1-2008",GRANILLO COLORES FRUTALES REPOSTERIA,INS-F181112FA9,1 kg,+/-10%,GRANILLO DE COLORES,A GRANEL,ABARROTES,289.41,90,YA_EN_CATALOGO
"GRANO DE ARROZ INFLADO CON SABOR A CHOCOLATE, CAJA CON 1.2 KG CON TOLERANCIA DE +/-10%",GRANO ARROZ INFLADO SABOR CHOCOLATE,INS-808B2D91DB,1.2 kg,+/-10%,,,,,49,FALTA_EN_CATALOGO
"GRANO DE ELOTE, ASPECTO: GRANOS COLOR BLANQUIZCO TONALIDADES AMARILLAS, LIBRE DE PLAGAS Y DAÑOS FISIOLÓGICOS, ATRACTIVO Y BIEN PRESENTADO, SABOR: CARACTERÍSTICO DE LA VARIEDAD, OLOR: CARACTERÍSTICO DE LA VARIEDAD, TACTO: FIRME Y DE GRANO TIERNO, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG",GRANO ELOTE,INS-990719F311,1 kg,,GRANO DE ELOTE (2 KG),LA HUERTA,CONGELADOS,234.72,100,YA_EN_CATALOGO
"GRANO DE FRIJOL BAYO, BOLSA CON 1 KG O A GRANEL DE PRIMERA CALIDAD CON TOLERANCIA DE +/-10% CUMPLIENDO CON LA NORMA: NMX- FF-038-SCFI-2016",GRANO FRIJOL BAYO CUMPLIENDO NMX FF SCFI,INS-3B5E284A16,1 kg,+/-10%,,,,,56,FALTA_EN_CATALOGO
"GRANO DE FRIJOL NEGRO MICHIGAN, BOLSA CON 1 KG DE PRIMERA CALIDAD CON TOLERANCIA DE +/-10% CUMPLIENDO CON LA NORMA: NMX- FF-038-SCFI-2016",GRANO FRIJOL NEGRO MICHIGAN CUMPLIENDO NMX FF SCFI,INS-7EED44DF0B,1 kg,+/-10%,,,,,54,FALTA_EN_CATALOGO
"GRANO DE GARBANZO SECO, BOLSA CON 1 KG DE PRIMERA CALIDAD CON TOLERANCIA DE +/-10%",GRANO GARBANZO SECO,INS-30727206CC,1 kg,+/-10%,GARBANZO,BOLSA,FRUTAS Y VERDURAS,53.05,75,REVISAR
"GRANOS DE ELOTE AMARILLO CONGELADOS, BOLSA CON 2 KG CON TOLERANCIA DE +/-10%",GRANOS ELOTE AMARILLO CONGELADOS,INS-6F82E4491F,2 kg,+/-10%,GRANO DE ELOTE (2 KG),LA HUERTA,CONGELADOS,234.72,82,YA_EN_CATALOGO
"GRANOS DE ELOTE AMARILLO CONGELADOS, BOLSA CON 500 GR CON TOLERANCIA DE +/-10%",GRANOS ELOTE AMARILLO CONGELADOS,INS-5915CAA50F,500 gr,+/-10%,GRANO DE ELOTE (2 KG),LA HUERTA,CONGELADOS,234.72,82,YA_EN_CATALOGO
GRENETINA SIN SABOR BOLSA CON 1 KG CON TOLERANCIA DE +/-10%,GRENETINA SABOR,INS-BF7E5EA5CE,1 kg,+/-10%,GRENETINA,DUCHE,ABARROTES,412.97,96,YA_EN_CATALOGO
"GUAJE ASPECTO: VAINA ALARGADA, LIBRE DE MAGULLADURAS, PLAGAS Y DAÑOS FISIOLÓGICOS, ATRACTIVO Y BIEN PRESENTADO, SABOR: CARACTERÍSTICO DE LA VARIEDAD, OLOR: CARACTERÍSTICO DE LA VARIEDAD, TACTO: FIRME, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG",GUAJE,INS-FCDE713E2F,1 kg,,AGUACATE,KG,FRUTAS Y VERDURAS,98.5,62,REVISAR
"GUANÁBANA, ASPECTO: LA SUPERFICIE DE LA FRUTA DEBERÁ SER ATRACTIVA Y BIEN PRESENTADO DE COLOR VERDE BRILLANTE, OLOR: AROMA CARACTERÍSTICO INTENSO, SABOR: DULCE, TACTO: TEXTURA FIRME Y JUGOSA, LIBRE DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG",GUANABANA,INS-97832B3A92,1 kg,,GUAYABA,KG,FRUTAS Y VERDURAS,63.95,75,REVISAR
"GUAYABA, ASPECTO: LA SUPERFICIE DE LA FRUTA DEBERÁ SER ATRACTIVA Y BIEN PRESENTADO DE COLOR AMARILLO BRILLANTE, OLOR: AROMA CARACTERÍSTICO INTENSO, SABOR: DULCE, TACTO: TEXTURA FIRME Y JUGOSA, LIBRE DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG",GUAYABA,INS-151B4F441D,1 kg,,GUAYABA,KG,FRUTAS Y VERDURAS,63.95,100,YA_EN_CATALOGO
"GUIAS DE CALABACITA, TEMPERATURA: MENOR A 7°C Y MAYOR A 2°C, ASPECTO: PUNTAS COLOR VERDE BASE TONALIDADES AMARILLAS BLANQUIZCAS, LIBRE DE MAGULLADURAS, PLAGAS Y DAÑOS FISIOLÓGICOS, ATRACTIVO Y BIEN PRESENTADO, SABOR: CARACTERÍSTICO DE LA VARIEDAD, OLOR: CARACTERÍSTICO DE LA VARIEDAD, TACTO: FIRME, FLEXIBLE Y FRÁGIL, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG",GUIAS CALABACITA,INS-0113A29E85,1 kg,,,,,,53,FALTA_EN_CATALOGO
"HABA MOLIDA EN POLVO, PRESENTACIÓN DE BOLSA CON 1 KG PRIMERA CALIDAD CON TOLERANCIA DE +/-10% DESCRIPCIÓN",HABA MOLIDA,INS-9ED7863FE1,1 kg,+/-10%,,,,,47,FALTA_EN_CATALOGO
"HABA SECA, PRESENTACIÓN DE BOLSA CON 1 KG PRIMERA CALIDAD CON TOLERANCIA DE +/- 10%",HABA SECA,INS-3B1F1BA69B,1 kg,+/-10%,,,,,40,FALTA_EN_CATALOGO
"HABA, FRESCA Y LIMPIA ASPECTO: GRANO PEQUEÑO COLOR VERDE CARACTERÍSTICO, LIBRE DE DAÑOS FISIOLÓGICOS, ATRACTIVO Y BIEN PRESENTADO, SABOR: CARACTERÍSTICO, OLOR: CARACTERÍSTICO DE LA VARIEDAD TACTO: FIRME Y DURO, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG",HABA FRESCA LIMPIA,INS-04337F3E4C,1 kg,,,,,,51,FALTA_EN_CATALOGO
"HARINA DE CENTENO, 1 KG DE PRIMERA CALIDAD CON TOLERANCIA DE +/- 10%",HARINA CENTENO,INS-FFAA2FDC0B,1 kg,+/-10%,HARINA INTEGRAL PARA HOT CAKES (800 GR),3 ESTRELLAS,ABARROTES,77.77,64,REVISAR
"HARINA DE MAÍZ PARA PAN BLANCO/AREPA BOLSA CON 500 GR CON TOLERANCIA DE +/-10%,",HARINA MAIZ PAN AREPA,INS-82BB8FC0EA,500 gr,+/-10%,HARINA DE MAIZ (1KG),MASECA,ABARROTES,37.28,93,YA_EN_CATALOGO
"HARINA DE TRIGO ALTA PROTEÍNA, BOLSA CON 1 KG CON TOLERANCIA DE +/-10%",HARINA TRIGO ALTA PROTEINA,INS-D9D3A3AA98,1 kg,+/-10%,HARINA HOJA DE PLATA ALTA PROTEINA (44 KG),A GRANEL,ABARROTES,1425.77,95,YA_EN_CATALOGO
"HARINA DE TRIGO ALTA PROTEÍNA, PRESENTACIÓN DE 10 KILOGRAMOS CON TOLERANCIA DE +/-10%",HARINA TRIGO ALTA PROTEINA,INS-C5AC3F2268,10 kilogramos,+/-10%,HARINA HOJA DE PLATA ALTA PROTEINA (44 KG),A GRANEL,ABARROTES,1425.77,95,YA_EN_CATALOGO
"HARINA DE TRIGO ALTA PROTEÍNA, PRESENTACIÓN DE 25 KILOGRAMOS CON TOLERANCIA DE +/-10%",HARINA TRIGO ALTA PROTEINA,INS-C0BD9B5964,25 kilogramos,+/-10%,HARINA HOJA DE PLATA ALTA PROTEINA (44 KG),A GRANEL,ABARROTES,1425.77,95,YA_EN_CATALOGO
"HARINA INTEGRAL, 1 KG DE PRIMERA CALIDAD CON TOLERANCIA DE +/- 10%",HARINA INTEGRAL,INS-35729E08FF,1 kg,+/-10%,HARINA INTEGRAL (1 KG),SAN BLAS,ABARROTES,27.77,100,YA_EN_CATALOGO
"HARINA PREPARADA PARA HOT CAKES INTEGRAL, PRESENTACIÓN BOLSA DE 850 GR",HARINA PREPARADA HOT CAKES INTEGRAL,INS-8D5C536158,850 gr,,HARINA INTEGRAL PARA HOT CAKES (800 GR),3 ESTRELLAS,ABARROTES,77.77,100,YA_EN_CATALOGO
"HARINA PREPARADA PARA HOT CAKES, PRESENTACIÓN BOLSA CON 4.53 KG CON TOLERANCIA DE +/-10%",HARINA PREPARADA HOT CAKES,INS-5B0772E9E7,4.53 kg,+/-10%,HARINA PARA HOT CAKES (800 GR),GAMESA,ABARROTES,80.32,95,YA_EN_CATALOGO
"HARINA PREPARADA PARA HOT CAKES, PRESENTACIÓN BOLSA DE 800 GR",HARINA PREPARADA HOT CAKES,INS-2282FCD8B6,800 gr,,HARINA PARA HOT CAKES (800 GR),GAMESA,ABARROTES,80.32,95,YA_EN_CATALOGO
HELADO DE CHOCOLATE BOTE 1LT,HELADO CHOCOLATE,INS-ABEF25D306,1 lt,,HELADO DE CHOCOLATE (1.17 LT),HOLANDA,CONGELADOS,131.23,100,YA_EN_CATALOGO
"HELADO DE CREMA COOKIES & CREAM, PRESENTACIÓN EN CUBETA DE 4.73 LT",HELADO CREMA COOKIES CREAM,INS-C1E80C2660,4.73 lt,,,,,,43,FALTA_EN_CATALOGO
"HELADO DE CREMA NAPOLITANO, PRESENTACIÓN EN CUBETA DE 4.73 LT",HELADO CREMA NAPOLITANO,INS-A5F3D26E7D,4.73 lt,,HELADO NAPOLITANO 4.7l,MEMBERS MARK,CONGELADOS,368.63,100,YA_EN_CATALOGO
"HELADO DE CREMA SABOR CHOCOLATE, PRESENTACIÓN EN CUBETA DE 4.73 LT",HELADO CREMA SABOR CHOCOLATE,INS-CDE71949C0,4.73 lt,,,,,,47,FALTA_EN_CATALOGO
"HELADO DE CREMA TORBELLINO DE FRESA-VAINILLA, PRESENTACIÓN EN CUBETA DE 4.73 LT",HELADO CREMA TORBELLINO FRESA VAINILLA,INS-A9B5B028F4,4.73 lt,,,,,,42,FALTA_EN_CATALOGO
HELADO DE VAINILLA BOTE DE 1LT,HELADO VAINILLA,INS-F833D44840,1 lt,,,,,,57,FALTA_EN_CATALOGO
"HELADO NIEVE DE LIMÓN, PRESENTACIÓN EN CUBETA DE 4.73 LT",HELADO NIEVE LIMON,INS-8639ABAE9E,4.73 lt,,HELADO OREO (1.17 LT),HOLANDA,CONGELADOS,202.14,72,REVISAR
HELADO VARIOS SABORES BOTE 1LITRO,HELADO VARIOS SABORES,INS-A62443EB8D,1 litro,,HELADO OREO (1.17 LT),HOLANDA,CONGELADOS,202.14,75,REVISAR
"HIGO CRISTALIZADO/CONFITADO, EN PRESENTACIÓN DE BOLSA DE 1 KG DE PRIMERA CALIDAD CON TOLERANCIA DE +/-10%",HIGO CRISTALIZADO CONFITADO,INS-0CC8254DF7,1 kg,+/-10%,HIGO CRISTALIZADO,A GRANEL,ABARROTES,487.59,98,YA_EN_CATALOGO
"HIGO, ASPECTO: LA SUPERFICIE DE LA FRUTA DEBERÁ SER ATRACTIVA Y BIEN PRESENTADO DE COLOR MORADO CON LEVES TONALIDADES VERDES, SABOR: DULCE CARNOSO, OLOR: CARACTERÍSTICO DEL PRODUCTO, TACTO: BLANDA Y DE PIEL FINA, EL INTERIOR CARNOSO, LIBRE DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS OTRAS MATERIAS INDESEABLES, DE ACUERDO CON LA TEMPORADA, PRESENTACIÓN DE UNA BOLSA DE 1 KG DE ACUERDO CON SU TEMPORADA.",HIGO,INS-DE21F8646A,1 kg,,HIGO CRISTALIZADO,A GRANEL,ABARROTES,487.59,78,REVISAR
"HINOJO, ASPECTO: FORMA ALARGADA, CON UN BULBO DE COLOR BLANCO EN UN EXTREMO Y HOJAS VERDES EN EL OTRO, ATRACTIVAS Y BIEN PRESENTADOS, LIBRE DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS Y SIN ROTURAS EN SU EPIDERMIS, SABOR: CARACTERÍSTICO DE LA VARIEDAD, OLOR: CARACTERÍSTICO DE LA VARIEDAD, TACTO: FIRME, FLEXIBLE Y FRÁGIL, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG",HINOJO,INS-CBCC22707B,1 kg,,VINO BLANCO (946 ML),CALIFORNIA,ABARROTES,142.14,64,REVISAR
"HOJA DE AGUACATE, ASPECTO: HOJA SANAS, FRESCAS Y LISAS, SIN PRESENCIA DE HONGOS O PLAGAS, COLOR VERDE OSCURO BRILLANTE, ATRACTIVAS Y BIEN PRESENTADOS, SABOR: FRESCO Y SUAVE CARACTERÍSTICO OLOR: CARACTERÍSTICO DE LA VARIEDAD TACTO: HOJA DELGADA DE SUPERFICIE LISA, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG",AGUACATE,INS-9830B5AC70,1 kg,,AGUACATE,KG,FRUTAS Y VERDURAS,98.5,100,YA_EN_CATALOGO
"HOJA DE HIERBABUENA, ASPECTO: LIBRE DE MAGULLADURAS Y DAÑOS FISIOLÓGICOS, HOJAS DE COLOR VERDE OSCURO ATRACTIVAS Y BIEN PRESENTADOS, SABOR: FRESCO Y CRUJIENTE CARACTERÍSTICO, OLOR: CARACTERÍSTICO DE LA VARIEDAD, TACTO: HOJA DELGADA DE SUPERFICIE RUGOSA, TALLO FIRME, LIBRE DE POLVO, TIERRA, LIBRE DE HUMEDAD Y SIN PICADURA DE INSECTOS U OTRAS MATERIAS INDESEABLES, PRESENTACIÓN DE UNA BOLSA DE 1 KG DESCRIPCIÓN",HIERBABUENA,INS-AE92155163,1 kg,,HIERBABUENA,KG,FRUTAS Y VERDURAS,34.86,100,YA_EN_CATALOGO
"HOJA DE MAÍZ PARA TAMAL - TOTOMOXTLE - PRESENTACIÓN EN PAQUETE DE 50 PIEZAS, CON TOLERANCIA DE +/-10%",MAIZ TAMAL TOTOMOXTLE,INS-5462AA85A0,50 piezas,+/-10%,MAIZ POZOLERO (1 KG),LA ABUELA,ABARROTES,40.32,67,REVISAR
